id,city_id,title,normalized_title,description
1,1,"💰 Торговец Центур","торговец центур","Торговая лавка Центура открыта для всех. У него ты можешь приобрести экипировку."
2,1,"🧝🏻‍♀️ Юная Веллен","юная веллен","Ты повстречал юную девушку."
3,1,"⛑ Целитель Талли","целитель талли","Каждый в Аквелии знает, что если у тебя проблемы со здоровьем, обращайся к целителю Талли."
4,1,"⚒️ Кузнец Гейл","кузнец гейл","Кузнец Гейл новичок в этом деле, но он приложит все усилия чтобы выполнить заказ."
5,1,"👨‍🔬 Алхимик Зефельд","алхимик зефельд","- Если ты хочешь прикоснуться к загадочному миру алхимии, ты зашел по адресу!


Примечание: Здесь ты можешь приобрести рецепты и ингредиенты для алхимии, а также произвести уникальные зелья - усиления."
6,1,"🥋 Тренер А-Эль","тренер а-эль","Со времен войны А-Эль овладел всеми видами оружия. Он может показать тебе пару ловких приемов."
7,1,"🎣 Рыбак Ва-Эль","рыбак ва-эль","Мастер рыбак."
8,19,"👨‍🔬 Алхимик Фламель","алхимик фламель","Доброго дня, путник!
Колесо жизни привело тебя на мой порог.
Быть может, я могу быть тебе полезным?

Примечание: Здесь ты можешь приобрести рецепты и ингредиенты для алхимии, а также произвести уникальные зелья - усиления."
9,19,"🥋 Мастер Зиллот","мастер зиллот","- Давным давно я был учителем фехтования при дворе... Кселес отродясь имел особый талант, без труда впитывая все уроки. Аарон тоже был неплох, но до брата ему было далеко. Его больше волновали смазливые девицы. На одной из них он и погорел... Жаль, что всё так вышло.
О чем это я...
А... Точно!
Могу научить тебя паре трюков. Есть желание?"
10,19,"💰 Торговец Оттер","торговец оттер","- С тех пор как большая война закончилась, торговля у меня, тьфу-тьфу, идет хорошими темпами. Могу что-то предложить?"
11,19,"👱🏻‍♀️ Сестра Элис","сестра элис","Она по истине герой нашего времени. Не сосчитать сколько солдат ее руки спасли от неминуемой гибели. Она может помочь и тебе."
12,19,"⚒️ Кузнец Хэнк","кузнец хэнк","Моя лавка, одно из немногих мест, что уцелели в Цирте. Мне удалось сохранить много чертежей. Обращайся, если нужна моя помощь."
13,19,"🔰🧟‍♂️Коммандер Рэнгар","коммандер рэнгар","Специальный коммандер армии Эпсилиона. Член 🌙Копья Полумесяца.
Прибыл в Цирту по специальному поручению короля.
Имеет полномочия издавать специальные директивы на территориях Цирты."
14,19,"🎭 Наемница Ray","наемница ray","По поручению 🤴🏻 Кселеса в поверженной 🏛 Цирте 🎭Наемница Ray смотрит за порядком.
Здесь она держит небольшой магазин - ""Mercenaries Shop"", где продает обмундирование, с помощью которого была одержана победа в войне."
15,19,"👴 Кладовщик Бернард","кладовщик бернард","Возглавляет склады 🏛 Цирты. С ним - твои вещи в безопасности"
16,3,"👨‍🦱 Хозяин Трактира","хозяин трактира","- Ты заглянул за пинтой свежего эля? Ооо... Ты по адресу, приятель!
Но сразу предупреждаю, с пьяницами и дебоширами не церемонюсь - быстро выставлю за дверь!"
17,3,"👨🏻‍🌾 Садовник",садовник,"- Ты можешь приобрести у меня свежие фрукты. Заряд витаминов никому не навредит!"
18,3,"🛎 Стол заказов","стол заказов","- Мы заплатим тебе за работу. Ознакомься со списком доступных заданий."
19,3,"👱🏼‍♀️ Жаннет",жаннет,"Жена не сильно удачливого охотника"
20,3,"🤹‍♂️ Авантюрист Питер","авантюрист питер","В этом мире побеждают самые богатые.
У кого есть деньги, у того есть власть!
C моей помощью ты сможешь быстро разбогатеть.
Ну что, сыграем в игру?.."
21,3,"👨🏼‍🌾 Фермер Пол","фермер пол","- Фермерское дело не простое...
Как говорил мой дед: «Не к урожаю идут, а урожай ведут». Удачи тебе в делах огородных...
Доброму урожаю добрый сбор!"
22,3,"🧵 Портной Эллиот","портной эллиот","Поговаривают, он умелец на все руки. Смастерит для тебя любую одежду. А если решишь вступить в брак то и с костюмами поможет."
23,3,"👨🏽‍🍳 Повар Николя","повар николя","- Бонжур, мон ами. Сытый живот - нет забот!
Если ты захотеть приготовить блюдо высокой кухня, я к твоим распоряжениям. Сделаем так -  прям пальчики оближешь, мон шери."
24,20,"🏴‍☠️ Роджер",роджер,"Молодой пират"
25,20,"👱🏽‍♂️ Работник бухты","работник бухты","Простой работяга."
26,20,"🧝🏽 Охотник Грэм","охотник грэм","Бывалый охотник"
27,20,"🎭 Каптенармус",каптенармус,"Четко и тщательно ведет учет складского обмундирования 🎭 Наемников.
У него ты можешь обменять свои чертежи и свитки на снаряжение.
Все строго под учет.
""Комар носа не подточит!"""
28,20,"👨🏼‍🦳 Хранитель маяка","хранитель маяка","Тебя приветствует седовласый хранитель маяка. Он еще молодится, но годы берут своё."
29,20,"🎭 Наемник Leo","наемник leo","По распоряжению 🤴🏻 Кселеса смотрит за порядком в 🏛 Чертовой бухте.
Здесь он возглавляет крупный логистический центр, где курирует поставки обмундирования в магазины ""Mercenaries Shop"" по всему Эпсилиону. В этом центре есть магазин розницы, где ты можешь приобрести обмундирование наемников."
30,20,"🧓🏻 Рыбак Оззи","рыбак оззи","Заядлый, но неудачливый любитель рыбной ловли."
31,20,"📋Доска объявлений","доска объявлений","Иногда, важные вещи попадают сюда"
32,13,"👦🏼 Томми",томми,"- Настала весна!.. Праздник скоро!"
33,13,"💰Торговец Тревор","торговец тревор","Лавка Тревора открыта в любое время."
34,13,"⛑ Лекарь Гельт","лекарь гельт","Близ о. Эпсила только он сможет помочь тебе с проблемами по здоровью."
35,13,"🧝 Смотритель склепа","смотритель склепа","Следит за порядком вокруг усыпальницы Эпсила."
36,13,"🪔 Плавильщик Турис","плавильщик турис","На материке всегда есть те, кому нужно переплавить вещи. Турис быстрее всех понял это и приехал в городок на 🏞🏛 Озере Эпсил предоставлять свои услуги плавки вещей."
37,13,"⚒️ Ремесленник Марк","ремесленник марк","Когда то, я делал оружие для лучших воинов Эпсилиона, но теперь - решил встретить старость на озере и заняться своими любимыми хобби"
38,13,"🕍👴🏻 Священник Клемент","священник клемент","Седой и мудрый, он обладает знанием древних обычаев и тайн, передаваемых ему из поколения в поколение. Его глубокий голос звучит как мелодия, когда он произносит молитвы и благословения для путешественников, искателей и верующих, приходящих в храм в поисках утешения и направления. Священник Клемент считается святым человеком, способным принести мир и свет в сердца всех, кто обращается к нему в поисках помощи и утешения."
39,21,"🥋 Учитель Эвоол","учитель эвоол","Потомок древней цивилизации, которую уничтожило извержение вулкана. Он располагает уникальными древними знаниями боевых искуств, которые передавались из поколения в поколение."
40,21,"🧙‍♂️ Таинственный путник","таинственный путник","По уставшему лицу и потрепанным одеяниям, ты понимаешь, что перед тобой стоит человек прошедший не одну версту. Интересно, где его помотало"
41,21,"💍 Ювелир Оормит","ювелир оормит","Потомок древней цивилизации, которую уничтожило извержение вулкана.  Он располагает уникальными древними знаниями в ювелирном мастерстве, которые передавались из поколения в поколение."
42,21,"🧵 Портной Амооса","портной амооса","Потомок древней цивилизации, которую уничтожило извержение вулкана. Он располагает уникальными древними знаниями в ткацком ремесле, которые передавались из поколения в поколение."
43,21,"⚒️ Кузнец Аакмаан","кузнец аакмаан","Потомок древней цивилизации, которую уничтожило извержение вулкана. Он располагает уникальными древними знаниями в кузнечном ремесле, которые передавались из поколения в поколение."
44,21,"👨‍🔬 Алхимик Анаак","алхимик анаак","Потомок древней цивилизации, которую уничтожило извержение вулкана. Он располагает уникальными древними знаниями в алхимии, которые передавались из поколения в поколение."
45,16,"🎭 Наемник Sieger","наемник sieger","Опытный стратег. Благодаря его знаниям и умениям удалось быстро осадить Цирту и довести дело до победы."
46,16,"💰 Торговец Нэл","торговец нэл","Владеет небольшой оружейной лавкой."
47,16,"👨‍🔬 Алхимик Форт","алхимик форт","Мастер перемещений, приобрел свои знания, обучаясь в северных горах"
48,16,"⚒️ Кузнец Флэт","кузнец флэт","Старый портовый кузнец, повидавший много на своем веку"
49,16,"👴🏼 Паромщик Николас","паромщик николас","Старый паромщик за небольшую плату доставит тебя к 🧊 Ледяному острову и обратно.

Стоимость проезда в оба конца: 100 золота"
50,16,"👨‍🦳 Почтальон Донал","почтальон донал","Еще в детстве разносил газеты, а теперь открыл свою почтовую службу ""Донал экспресс"". Доставляет печеньки, занимается передачей экипировки, ресурсов."
51,16,🔩Мастерская,мастерская,"У входа тебя встречает 👷🏽‍♂️ ответственный за мастерскую. Он проводит с тобой небольшой инструктаж и дает тебе доступ к твоим опытам."
52,10,"💰 Торговец Шурич","торговец шурич","Миледонский торговец. Все самые новые и интересные товары - у него."
53,10,"📰 Доска заданий","доска заданий","*На ней отображены все доступные и недоступные для вас задания, которые выставили в Гильдии за вознаграждение.*"
54,10,"🏰🧙‍♂️ Сумасшедший Жак","сумасшедший жак","Нищий из трущоб Миледона. Постоянно твердит о каких то подземных лабиринтах. Но ему никто не верит, потому что он лишился рассудка."
55,10,"👱🏻‍♀️ Распорядитель Офелия","распорядитель офелия","Добро пожаловать в Гильдию Героев! Если вы зарегистрированный Герой, то задания вы можете посмотреть у 📰 Доски заданий. Если вы новенький, я должна проверить, насколько вы подходите званию ""Героя""."
56,10,"🧵 Портной Муце","портной муце","Поговаривают, он умелец на все руки. Смастерит для тебя любую одежду. А если решишь вступить в брак то и с костюмами поможет."
57,10,"🧑🏼‍🔬 Алхимик Неил","алхимик неил","Молодой миледонский алхимик."
58,10,"🪔 Плавильщик Мидер","плавильщик мидер","Наиболее редкое ремесло, которым владеют на материке. Плавильщики - кузнецы, решившие посвятить себя полностью искусству плави и переплавки различных вещей в материю - ценный ресурс."
59,10,"⚒️ Кузнец Диней","кузнец диней","Известный миледонский кузнец."
60,10,"❤️ Мастер целитель","мастер целитель","Овладев тактикой и навыками целителя, мастер обучает всех тех, кто достиг определенных успехов. Помогает воину встать на выбранный путь, обучает специфическим навыкам и умениям, а также помогает в их улучшении."
61,10,"⚔️ Мастер гладиатор","мастер гладиатор","Овладев тактикой и навыками гладиатора, мастер обучает всех тех, кто достиг определенных успехов. Помогает воину встать на выбранный путь, обучает специфическим навыкам и умениям, а также помогает в их улучшении."
62,10,"🏹 Мастер следопыт","мастер следопыт","Овладев тактикой и навыками следопыта, мастер обучает всех тех, кто достиг определенных успехов. Помогает воину встать на выбранный путь, обучает специфическим навыкам и умениям, а также помогает в их улучшении."
63,10,"🌟 Мастер инквизитор","мастер инквизитор","Овладев тактикой и навыками инквизитора, мастер обучает всех тех, кто достиг определенных успехов. Помогает воину встать на выбранный путь, обучает специфическим навыкам и умениям, а также помогает в их улучшении."
64,10,"🔪 Мастер убийца","мастер убийца","Овладев тактикой и навыками убийцы, мастер обучает всех тех, кто достиг определенных успехов. Помогает воину встать на выбранный путь, обучает специфическим навыкам и умениям, а также помогает в их улучшении."
65,10,"🛡 Мастер страж","мастер страж","Овладев тактикой и навыками стража, мастер обучает всех тех, кто достиг определенных успехов. Помогает воину встать на выбранный путь, обучает специфическим навыкам и умениям, а также помогает в их улучшении."
66,7,"👳🏾‍♂️ Торговец Хаджи","торговец хаджи","Торговая лавка Хаджи открыта для всех. У него ты можешь приобрести интересные и полезные вещи для своего путешествия."
67,7,"🤴🏾 Принц Карбарака","принц карбарака","Он лично возглавлял поход армии на войну против монстров разлома бездны. К сожалению, многие не вернулись с той войны. Говорят, Принц лично сражался с одним из командиров монстров тьмы. Правда, свидетелей, подтверждающих этого - нет. Да и сам Принц особо никому не рассказывает это, так как после этого боя он перестал стареть, по ночам его мучают кошмары и иногда он просто не похож сам на себя и у людей, общавшихся с ним, обычно больше вопросов, чем ответов. Но жители его все равно почитают и любят, ведь Принц делает все для развития своего города."
68,7,"🦾 Стальной алхимик","стальной алхимик","Один из самых близких людей принца, которому тот может доверять. Алхимик тоже участвовал в первой битве в разломе. После того, как там произошло что-то немыслимое, мы знаем его, как 🦾 Стальной алхимик. Стальной, потому что вместо правой руки, ноги и легкого, у него зачарованная сталь, позволяющая ему ощущать почти все прелести этой жизни. Именно благодаря своим безупречным знаниям различных формул и мистических знаний, полученных при обучении в монастыре, он смог выжить."
69,7,"⚒️ Кузнец Карбо","кузнец карбо","Кузнец Карбо - гном, которого забрал к себе Принц после переговоров с кланом гномов. ""Каждый гном умеет работать в кузнице"" - так говорил один из гномов, учивший молодого Карбо ремеслу. Но ему это дело не особо давалось. Некоторые его презирали и хотели, чтобы его изгнали из клана. На одной из торговых встреч гномов с принцем кто-то, в тайне от других гномов, предложил принцу купить Карбо к себе в слуги. Принц выкупил гнома, но не для того, чтобы тот протирал полы в его залах. Поговорив с гномом он был уверен, что Карбо станет великим кузнецом. Принц дал гному работу в башне исследований, затем в монастыре. После этого - подмастерье у Алхимика. После Принц предоставил кузницу для Карбо, чтобы тот практиковался, подкидывая заказы на изготовление доспехов и оружия. Спустя время Карбо стал объединять полученные знания и свое ремесло, тем самым, создав из осколков разлома оружие и броню, которую по сей день не может создать ни 1 гном."
70,7,"🕵🏾‍♂️ Шифровальщик",шифровальщик,"Мне нужно выяснить, как связано все то, что здесь происходит и все то, что может произойти, если я не вмешаюсь."
71,7,"👴 Кладовщик Бертран","кладовщик бертран","Возглавляет склады 🏛 Карбарака. С ним - твои вещи в безопасности"
72,15,"👨🏻‍💼 Управляющий",управляющий,"Человек, ведущий дела в Рыбацкой гавани и отвечающий за ловлю и поставку рыбы на материк."
73,15,"👲🏾 Наемник",наемник,"Охрана гавани состоит в основном из наемников, присланных сюда по приказу Миледона для обеспечения безопасности жителей от нападения монстров, так как сил местного ополчения сейчас не хватает."
74,15,"🧔🏾 Работник гавани","работник гавани","Один из местных работников гавани, живущий здесь же. Занимается рыболовством, взращиванием зерновых культур и торговлей. Надеется когда нибудь накопить средств, купить землю на окраине Карбарака и построить свой собственный дом."
75,15,"👴🏿 Наставник Зосим","наставник зосим","Некогда был главным торговцем восточного берега, но после экономических потрясений на континенте отдалился от цивилизации и начал преподавать духовные практики копя ресурсы на свое новое дело"
76,15,"🏰👴🏼 Уильям Кидд","уильям кидд","Старик, который живет в рыбацкой гавани и большую часть времени проводит на берегу, восседая на старых деревянных ящиках и смотря на горизонт. Он рассказывает о корабле призраке, с которым когда-то столкнулась его команда и судя по всему, выжить удалось только ему, потеряв свое состояние.

Сейчас же, ищет помощь от авантюристов на постройку корабля. С его помощью - он сможет отправиться в поиски за кораблем призраком."
77,12,"⚒️ Кузнец Оазис","кузнец оазис","Живет в оазисе с самого рождения и поэтому знает, что без хорошего оружия и брони здесь просто не выжить."
78,12,"👷🏽‍♂️ Исследователь реликвий - Жожа","исследователь реликвий - жожа","Этот человек знает многое о реликвиях: где их искать, как с ними обращаться, как использовать. За консультацию берет монетой, но знания - дороже."
79,12,"💰 Торговец Бальмонд","торговец бальмонд","Суровый мужчина крупного телосложения, недавно приехавший в оазис для продажи своих товаров и поиска сокровищ."
80,12,"🪔 Плавильщик Онджо","плавильщик онджо","В столь далеких местах тоже нужен такой мастер, как Онджо. Его достаточно редкое ремесло здесь будет иметь колоссальный спрос и работа будет кипеть целыми днями."
81,12,"👨🏽‍🔬 Алхимик Стив","алхимик стив","Ученик Стального алхимика, перебравшийся в оазис для проведения исследований здешних аномалий."
82,12,"👨🏿‍🦳 Местный старец","местный старец","Знает все о здешних местах. Не особо разговорчив и немного сумасшедший."
83,14,"👷🏿 Инженер подземелий - Курим","инженер подземелий - курим","Главный инженер по постройкам под землей. Прибыл со своей бригадой в поселение в помощь в борьбе с зараженными троглодитами и монстрами тьмы. Благодаря ему и его команде были проложены тоннели под городом, построены различные ловушки и механизмы, позволяющие держать оборону в трудных ситуациях. Также под землей были найдены полезные ископаемые, которые здесь же перерабатываются и используются для различных целей."
84,14,"🛡🐊 Командир обороны - Фидиус","командир обороны - фидиус","Фидус - правая рука и брат Октариуса. Последний из командиров троглодитов, не затронутых тьмой. Являясь яростным воином и мудрым стратегом, он командует обороной поселения от атак зараженных собратьев."
85,14,"👀🐊 Предводитель Октариус","предводитель октариус","Если кратко описывать расу Троглодитов - это человек в крокодильем обличие. Уровень интеллекта в среднем у них ниже, но по силовым качествам они превосходят человека.

Октариус - предводитель мирных троглодитов, точнее тех, кого тьма не успела поглотить. После заражения его расы тьмой, он собрал всех оставшихся незараженных и отправился за территорию города, куда тьма не дошла. Здесь он организовал лагерь, превратившийся в последствии в достойное поселение для развития своей расы."
86,14,"⚒️👨🏿‍🦳 Кузнец Горд","кузнец горд","- Гном по расе, кузнец по призванию. Шахты - его любимое место работы. Сначала он оценивает добытые металлы, затем делает отличное оружие и броню для своих братьев по оружию. Во время нападений Горд любит разломить пару черепов своим молотом, который он сделал из металла бездны. Только никто не знает, где ему удалось это откопать..."
87,11,"🧕🏾 Луана",луана,"Мистик и чародей. Один из создатель ""Сетки"" - магической связи вокруг разлома, сокращающая скорость его разрастания. Отвечает за стабильность ""Сетки"" и ее связей."
88,11,"🦾 Стальной алхимик","стальной алхимик","Алхимик тоже приехал в монастырь, поскольку скоро здесь будет то, с чем он имел дело много лет назад... Его навыки точно пригодятся здесь больше, чем в Карбараке."
89,11,"🥼👨🏿‍🦰 Советник Худ","советник худ","Худ - член совета Миледона. Отправился в монастырь несколько недель назад, чтобы лично узнать, что здесь происходит."
90,11,"🧥👳🏾‍♂️ Монах Мирин","монах мирин","Один из старших монахов. Ответственный по вопросам безопасности монастыря."
91,9,"👨🏿‍🦱Бирвелор из дома 🔨Молота","бирвелор из дома молота","Молодой гном, сын дома 🔨Молота."
92,9,"⚒️ Мастер брони Эгерь","мастер брони эгерь","Талантливый мастер брони, один из коренных жителей острова"
93,9,"👩🏽‍🦱Магистр Елена","магистр елена","Один из послов Миледона. Ныне выполняющий обязанности мэра Лонгйира."
94,9,"🧝🏻‍♀️Архитектор Алия","архитектор алия","Прибыла вместе с Еленой для помощи в освоении территорий. Занимается возведением стен города."
95,9,"👵🏿Друсилиа из дома 🧲Наковальни","друсилиа из дома наковальни","Седая гномиха из дома 🧲Наковальни, все еще уверенно держит огромную секиру в руках."
96,9,"👳🏼 Купец",купец,"Если тебе нужно перекусить или восстановить силы - милости прошу на свое судно!
Также, ты можешь неплохо заработать, выполнив мои заказы на северных животных.
Ну что, ты готов?"
97,9,"👨🏻‍🦳Паромщик Петр","паромщик петр","У тебя уже оплачено. Возвращайся на большую землю."
98,8,"🧙‍♂️ Бож, вождь антов","бож, вождь антов","Бывший вождь северного племени потерял глаз в сражении с войсками Ламелии, как и почти всех своих собратьев. Великолепный кузнец."
99,8,"👩‍🦰 Обра, тень короля","обра, тень короля","Последняя женщина из племени Антов, cупруга Хазара. Мастер теневых искусств, поговаривают что именно ее отряд устроил диверсию из-за которой начался крах Циртийских войск."
100,8,"⚙️🔩 Замок врат","замок врат",
101,8,"👩🏽‍🎤 Зиллона",зиллона,"Бывший наемник Миледона. Битвы и приключения - любимые занятия Зиллоны. Амбициозная и рассудительная воительница решила оставить службу и заняться собственным делом. Она оказывается всегда в нужном месте и в нужное время, поэтому она стала одной из первых, кто нашел камни хаоса и их осколки, которые можно найти вблизи разломов.

Сейчас она продолжает заниматься любимым делом и обучает других правильно использовать эти камни."
102,8,"👳‍♀️ Хазар, исследователь","хазар, исследователь","Лидер Антов, харизматичный лидер, близкий друг Кселеса. Возглавляет экспедицию на остров"
